@relation 'model-2018, 4, y 2018 class4 SLO-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_mura_gradgona numeric
@attribute r_drava_borlformin numeric
@attribute r_dravinja_videm numeric
@attribute r_savinja_velikosirje numeric
@attribute r_sava_radovljica numeric
@attribute r_sava_sentjakob numeric
@attribute r_sava_hrastnik numeric
@attribute r_sava_catez numeric
@attribute r_sora_suha numeric
@attribute r_krka_podbocje numeric
@attribute r_kolpa_radenci numeric
@attribute r_ljubljanica_moste numeric
@attribute r_soca_solkan numeric
@attribute r_vipava_dolenje numeric
@attribute r_idrijca_podroteja numeric
@attribute r_reka_cmlin numeric
@attribute accidents numeric
@attribute accidents_people numeric
@attribute s_br_temp_avg numeric
@attribute s_br_temp_max numeric
@attribute s_br_wind_speed numeric
@attribute s_br_cloudiness numeric
@attribute s_br_humidity numeric
@attribute s_br_rainfall numeric
@attribute s_br_snow_high numeric
@attribute s_br_snow_new numeric
@attribute s_br_wind_strong numeric
@attribute s_br_wind_storm numeric
@attribute s_br_thunderstorm numeric
@attribute s_br_freezing_rain numeric
@attribute s_br_hail numeric
@attribute s_br_frost numeric
@attribute s_ce_temp_avg numeric
@attribute s_ce_temp_max numeric
@attribute s_ce_temp_min numeric
@attribute s_ce_wind_speed numeric
@attribute s_ce_cloudiness numeric
@attribute s_ce_humidity numeric
@attribute s_ce_rainfall numeric
@attribute s_ce_snow_high numeric
@attribute s_ce_snow_new numeric
@attribute s_ce_sunshine_duration numeric
@attribute s_ce_wind_strong numeric
@attribute s_ce_wind_storm numeric
@attribute s_ce_thunderstorm numeric
@attribute s_ce_freezing_rain numeric
@attribute s_ce_hail numeric
@attribute s_ce_frost numeric
@attribute s_kp_temp_avg numeric
@attribute s_kp_temp_max numeric
@attribute s_kp_temp_min numeric
@attribute s_kp_wind_speed numeric
@attribute s_kp_cloudiness numeric
@attribute s_kp_humidity numeric
@attribute s_kp_rainfall numeric
@attribute s_kp_snow_high numeric
@attribute s_kp_snow_new numeric
@attribute s_kp_sunshine_duration numeric
@attribute s_kp_wind_strong numeric
@attribute s_kp_wind_storm numeric
@attribute s_kp_thunderstorm numeric
@attribute s_kp_freezing_rain numeric
@attribute s_kp_hail numeric
@attribute s_kp_frost numeric
@attribute s_kr_temp_avg numeric
@attribute s_kr_temp_max numeric
@attribute s_kr_wind_speed numeric
@attribute s_kr_cloudiness numeric
@attribute s_kr_humidity numeric
@attribute s_kr_rainfall numeric
@attribute s_kr_snow_high numeric
@attribute s_kr_snow_new numeric
@attribute s_kr_wind_strong numeric
@attribute s_kr_wind_storm numeric
@attribute s_kr_thunderstorm numeric
@attribute s_kr_freezing_rain numeric
@attribute s_kr_hail numeric
@attribute s_kr_frost numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute s_mb_temp_avg numeric
@attribute s_mb_temp_max numeric
@attribute s_mb_temp_min numeric
@attribute s_mb_wind_speed numeric
@attribute s_mb_cloudiness numeric
@attribute s_mb_humidity numeric
@attribute s_mb_rainfall numeric
@attribute s_mb_snow_high numeric
@attribute s_mb_snow_new numeric
@attribute s_mb_sunshine_duration numeric
@attribute s_mb_wind_strong numeric
@attribute s_mb_wind_storm numeric
@attribute s_mb_thunderstorm numeric
@attribute s_mb_freezing_rain numeric
@attribute s_mb_hail numeric
@attribute s_mb_frost numeric
@attribute s_ms_temp_avg numeric
@attribute s_ms_temp_max numeric
@attribute s_ms_temp_min numeric
@attribute s_ms_wind_speed numeric
@attribute s_ms_cloudiness numeric
@attribute s_ms_humidity numeric
@attribute s_ms_rainfall numeric
@attribute s_ms_snow_high numeric
@attribute s_ms_snow_new numeric
@attribute s_ms_sunshine_duration numeric
@attribute s_ms_wind_strong numeric
@attribute s_ms_wind_storm numeric
@attribute s_ms_thunderstorm numeric
@attribute s_ms_freezing_rain numeric
@attribute s_ms_hail numeric
@attribute s_ms_frost numeric
@attribute s_ng_temp_avg numeric
@attribute s_ng_temp_max numeric
@attribute s_ng_temp_min numeric
@attribute s_ng_wind_speed numeric
@attribute s_ng_cloudiness numeric
@attribute s_ng_humidity numeric
@attribute s_ng_rainfall numeric
@attribute s_ng_snow_high numeric
@attribute s_ng_snow_new numeric
@attribute s_ng_sunshine_duration numeric
@attribute s_ng_wind_strong numeric
@attribute s_ng_wind_storm numeric
@attribute s_ng_thunderstorm numeric
@attribute s_ng_freezing_rain numeric
@attribute s_ng_hail numeric
@attribute s_ng_frost numeric
@attribute s_nm_temp_avg numeric
@attribute s_nm_temp_max numeric
@attribute s_nm_temp_min numeric
@attribute s_nm_wind_speed numeric
@attribute s_nm_cloudiness numeric
@attribute s_nm_humidity numeric
@attribute s_nm_rainfall numeric
@attribute s_nm_snow_high numeric
@attribute s_nm_snow_new numeric
@attribute s_nm_sunshine_duration numeric
@attribute s_nm_wind_strong numeric
@attribute s_nm_wind_storm numeric
@attribute s_nm_thunderstorm numeric
@attribute s_nm_freezing_rain numeric
@attribute s_nm_hail numeric
@attribute s_nm_frost numeric
@attribute s_po_temp_avg numeric
@attribute s_po_temp_max numeric
@attribute s_po_temp_min numeric
@attribute s_po_wind_speed numeric
@attribute s_po_cloudiness numeric
@attribute s_po_humidity numeric
@attribute s_po_rainfall numeric
@attribute s_po_snow_high numeric
@attribute s_po_snow_new numeric
@attribute s_po_sunshine_duration numeric
@attribute s_po_wind_strong numeric
@attribute s_po_wind_storm numeric
@attribute s_po_thunderstorm numeric
@attribute s_po_freezing_rain numeric
@attribute s_po_hail numeric
@attribute s_po_frost numeric
@attribute class4_callin_slo {1,2,3,4}

@data
0,0,0.082116,0.32285,0.162476,0.224338,0.059271,0.124935,0.306901,0.423717,0.265697,0.374363,0.226674,0.743725,0.170263,0.413856,0.175,0.247343,0.022727,0,0.501272,0.403846,0.27451,0.97,0.685185,0,0,0,0,0,0,0,0,0,0.503856,0.436275,0.712695,0.730769,0.87,0.711111,0,0,0,0,1,0,0,0,0,0,0.373134,0.419689,0.374613,0.125,0.93,0.835821,0,0,0,0,1,0,0,0,0,0,0.431525,0.300518,0.393939,1,0.957447,0,0,0,0,0,0,0,0,0,0.355742,0.34466,0.623881,0.216216,1,0.884615,0.00111,0,0,0,0,0,0,0,0,0,0.475,0.46747,0.56674,0.484536,0.87,0.705882,0,0,0,0,1,0,0,0,0,0,0.491139,0.409756,0.58284,0.371795,0.87,0.615385,0,0,0,0,1,0,0,0,0,0,0.314815,0.25974,0.440994,0.119048,1,0.969231,0.025455,0,0,0,0,0,0,0,0,0,0.454054,0.395181,0.468531,0.191489,0.93,0.833333,0,0,0,0,0,0,0,0,0,0,0.424419,0.412322,0.606648,0.22807,1,0.866667,0.019123,0,0,0.021277,0,0,0,0,0,0,2
0.166667,0,0.100608,0.470964,0.412198,0.440848,0.094147,0.207218,0.415553,0.611995,0.334279,0.543764,0.439171,0.879633,0.309625,0.71498,0.230119,0.453507,0.068182,0.22807,0.427481,0.319712,0.705882,0.97,0.907407,0.242838,0,0,0,0,0,0,0,0,0.395887,0.328431,0.545657,0.5,0.77,0.822222,0.311072,0,0,0.023077,0,0,0,0,0,0,0.247761,0.357513,0.25387,0.204545,0.73,0.880597,0.348511,0,0,0.197279,0,0,0,0,0,0,0.356589,0.227979,0.060606,1,0.978723,0.189655,0,0,0,0,0,0,0,0,0.280112,0.245146,0.444776,0.067568,1,0.961538,0.287458,0,0,0,0,0,0,0,0,0,0.3725,0.346988,0.592998,0.072165,0.77,0.941176,0.109527,0,0,0.042857,0,0,0,0,0,0,0.374684,0.290244,0.452663,0.141026,0.77,0.903846,0.180832,0,0,0,0,0,0,0,0,0,0.20679,0.337662,0.291925,0.119048,0.8,0.861538,0.607273,0,0,0.289655,0,0,0,0,0,0,0.391892,0.303614,0.433566,0.297872,1,0.916667,0.246094,0,0,0,0,0,0,0,0,0,0.343023,0.374408,0.504155,0.05848,0.8,0.844444,0.561305,0,0,0.06383,0,0,0,0,0,0,1
0.333333,0,0.090663,0.388852,0.241152,0.286592,0.086269,0.170967,0.370244,0.548907,0.245207,0.579443,0.317457,0.810794,0.23286,0.430578,0.127953,0.255264,0.181818,0.070175,0.437659,0.389423,0.294118,0.9,0.62963,0,0,0,0,0,0,0,0,0,0.40874,0.397059,0.478842,0.442308,0.8,0.6,0,0,0,0.2,1,0,0,0,0,0,0.298507,0.414508,0.182663,0.227273,0.57,0.746269,0,0,0,0.170068,0,0,0,0,0,0,0.351421,0.305699,0.212121,0.8,0.808511,0,0,0,0,0,0,0,0,0,0.32493,0.356796,0.516418,0.175676,0.6,0.673077,0,0,0,0.167832,1,0,0,0,0,0,0.4225,0.412048,0.446389,0.463918,0.8,0.45098,0,0,0,0.185714,1,0,0,0,0,0,0.379747,0.365854,0.269231,0.25641,0.93,0.653846,0,0,0,0.176871,1,0,0,0,0,0,0.179012,0.244156,0.201863,0.035714,0.73,0.923077,0,0,0,0.013793,0,0,0,0,0,0,0.405405,0.416867,0.356643,0.425532,0.6,0.666667,0,0,0,0.244604,0,0,0,0,0,0,0.340116,0.381517,0.390582,0.204678,0.67,0.822222,0,0,0,0.12766,1,0,0,0,0,0,2
0.5,0,0.078779,0.447871,0.170017,0.223147,0.062674,0.133668,0.327307,0.501015,0.203555,0.486997,0.24646,0.741079,0.166405,0.28619,0.086525,0.236117,0.329545,0.385965,0.402036,0.298077,0.215686,0.93,0.962963,0.030014,0,0,0,0,0,0,0,0,0.460154,0.355392,0.447661,0.230769,0.57,0.577778,0,0,0,0,1,0,0,0,0,0,0.310448,0.329016,0.213622,0.079545,0.77,0.925373,0.012259,0,0,0.006803,0,0,0,0,0,0,0.356589,0.251295,0.106061,0.87,0.851064,0,0,0,0,0,0,0,0,0,0.277311,0.247573,0.358209,0.013514,0.7,0.961538,0.00333,0,0,0.055944,0,0,0,0,0,0,0.3925,0.361446,0.435449,0.28866,0.57,0.627451,0,0,0,0,0,0,0,0,0,0,0.362025,0.3,0.278107,0.115385,0.37,0.807692,0,0,0,0.047619,0,0,0,0,0,0,0.268519,0.251948,0.242236,0.02381,0.9,0.938462,0.007273,0,0,0.02069,0,0,0,0,0,0,0.383784,0.368675,0.328671,0.255319,0.83,0.9375,0.082031,0,0,0.071942,0,0,0,0,0,0,0.447674,0.388626,0.481994,0.222222,1,0.888889,0.070866,0,0,0.042553,0,0,0,0,0,0,2
0.666667,0,0.082126,0.449768,0.136971,0.167566,0.058124,0.118657,0.29104,0.45011,0.179933,0.397715,0.206297,0.675444,0.155798,0.299864,0.165713,0.197717,0.375,0.508772,0.541985,0.480769,0.54902,0.83,0.666667,0,0,0,0,0,0,0,0,0,0.578406,0.492647,0.623608,0.5,0.6,0.622222,0,0,0,0.215385,0,0,0,0,0,0,0.468657,0.404145,0.312693,0.125,0.97,0.910448,0,0,0,0,0,0,0,0,0,0,0.483204,0.326425,0.19697,1,0.93617,0,0,0,0,0,0,0,0,0,0.420168,0.349515,0.528358,0,1,0.961538,0,0,0,0,0,0,0,0,0,0,0.545,0.498795,0.533917,0.57732,0.6,0.627451,0,0,0,0.242857,1,0,0,0,0,0,0.511392,0.456098,0.363905,0.24359,0.6,0.711538,0.001808,0,0,0.088435,0,0,0,0,0,0,0.37963,0.283117,0.481366,0.011905,1,0.969231,0,0,0,0,0,0,0,0,0,0,0.545946,0.460241,0.423077,0.404255,0.93,0.729167,0,0,0,0.028777,0,0,0,0,0,0,0.526163,0.414692,0.65097,0.25731,1,1,0.001125,0,0,0,0,0,0,0,0,0,1
0.833333,0.5,0.085896,0.330692,0.117361,0.153255,0.065256,0.118362,0.270913,0.346064,0.212749,0.322668,0.202184,0.635025,0.23622,0.621376,0.440104,0.204782,0.159091,0.157895,0.575064,0.524038,0.392157,0.67,0.722222,0,0,0,0,0,0,0,0,0,0.686375,0.539216,0.757238,0.75,0.7,0.4,0.001757,0,0,0.069231,1,0,0,0,0,0,0.492537,0.494819,0.504644,0.261364,0.83,0.865672,0.057793,0,0,0.027211,0,0,0,0,0,0,0.555556,0.466321,0.212121,0.93,0.87234,0.018319,0,0,0,0,0,0,0,0,0.518207,0.495146,0.656716,0.202703,0.73,0.846154,0.055494,0,0,0.146853,0,0,0,0,0,0,0.635,0.561446,0.708972,0.505155,0.7,0.470588,0,0,0,0.507143,1,0,0,0,0,0,0.63038,0.54878,0.514793,0.307692,0.5,0.480769,0,0,0,0.37415,1,0,0,0,0,0,0.444444,0.376623,0.565217,0.047619,1,0.984615,0.138182,0,0,0,0,0,0,0,0,0,0.621622,0.563855,0.56993,0.297872,0.93,0.5,0,0,0,0.086331,0,0,0,0,0,0,0.569767,0.462085,0.720222,0.175439,1,1,0.092238,0,0,0,0,0,0,0,0,0,1
1,1,0.075998,0.331639,0.109264,0.16573,0.104633,0.156293,0.28734,0.369283,0.229756,0.26047,0.26867,0.608005,0.32878,0.534537,0.2899,0.214984,0.090909,0.122807,0.524173,0.512019,0.117647,0.63,0.814815,0,0,0,0,0,0,0,0,0,0.588689,0.539216,0.710468,0.25,0.7,0.622222,0,0,0,0.1,0,0,0,0,0,0,0.519403,0.468912,0.470588,0.113636,0.9,0.820896,0,0,0,0,0,0,0,0,0,0,0.527132,0.409326,0.151515,0.83,0.851064,0.003233,0,0,0,0,0,0,0,0,0.47619,0.40534,0.653731,0.162162,0.87,0.903846,0.009989,0,0,0,0,0,0,0,0,0,0.5425,0.566265,0.673961,0.391753,0.7,0.607843,0,0,0,0.45,1,0,0,0,0,0,0.468354,0.473171,0.420118,0.166667,0.33,0.923077,0,0,0,0.360544,0,0,0,0,0,0,0.453704,0.38961,0.602484,0,0.9,0.953846,0.296364,0,0,0,0,0,0,0,0,0,0.559459,0.542169,0.468531,0.319149,0.7,0.729167,0,0,0,0.043165,0,0,0,0,0,0,0.578488,0.476303,0.65374,0.116959,1,0.955556,0.030371,0,0,0,0,0,0,0,0,0,1
0,0,0.070493,0.426245,0.095364,0.149096,0.144409,0.162916,0.297955,0.381969,0.195898,0.210306,0.21399,0.5718,0.298682,0.359162,0.166377,0.184597,0.409091,0.368421,0.468193,0.346154,0.117647,1,1,0,0,0,0,0,0,0,0,0,0.491003,0.357843,0.601336,0.057692,1,1,0,0,0,0,0,0,0,0,0,0,0.504478,0.515544,0.430341,0.125,0.87,0.761194,0,0,0,0.088435,0,0,0,0,0,0,0.483204,0.34715,0.030303,1,1,0.00431,0,0,0,0,0,0,0,0,0.414566,0.364078,0.522388,0.108108,1,1,0.00333,0,0,0,0,0,0,0,0,0,0.4525,0.339759,0.623632,0.061856,1,1,0,0,0,0,0,0,0,0,0,0,0.468354,0.32439,0.553254,0.128205,1,1,0,0,0,0,0,0,0,0,0,0,0.466049,0.428571,0.521739,0.071429,0.87,0.923077,0.007273,0,0,0.075862,0,0,0,0,0,0,0.524324,0.53012,0.444056,0.06383,0.63,0.791667,0,0,0,0.294964,0,0,0,0,0,0,0.523256,0.492891,0.537396,0.05848,0.93,0.911111,0.001125,0,0,0.035461,0,0,0,0,0,0,2
0.166667,0,0.070078,0.64708,0.089325,0.13138,0.171212,0.21154,0.316407,0.366371,0.244266,0.175196,0.164075,0.578036,0.313645,0.328998,0.205058,0.201148,0.295455,0.403509,0.501272,0.367788,0.352941,0.97,0.888889,0,0,0,0,0,0,0,0,0,0.51928,0.362745,0.685969,0.096154,1,0.911111,0,0,0,0,0,0,0,0,0,0,0.525373,0.494819,0.55418,0.647727,0.9,0.701493,0,0,0,0,1,1,0,0,0,0,0.49354,0.34456,0.166667,1,0.957447,0,0,0,0,0,0,0,0,0,0.417367,0.349515,0.632836,0.027027,0.97,0.961538,0.00111,0,0,0,0,0,1,0,0,0,0.465,0.344578,0.682713,0.164948,1,1,0,0,0,0,0,0,0,0,0,0,0.475949,0.336585,0.585799,0.166667,1,0.942308,0,0,0,0,0,0,0,0,0,0,0.512346,0.449351,0.593168,0.416667,0.93,0.676923,0.001818,0,0,0,1,0,1,0,0,0,0.481081,0.390361,0.513986,0.297872,1,0.875,0,0,0,0,0,0,0,0,0,0,0.531977,0.478673,0.686981,0.181287,1,0.933333,0,0,0,0,1,0,1,0,0,0,1
0.333333,0,0.113922,0.665863,0.183876,0.539135,0.269554,0.310741,0.504147,0.650743,0.384403,0.518445,0.619,0.796432,0.45367,0.648337,0.328456,0.408133,0.409091,0.368421,0.455471,0.418269,0.215686,0.83,0.888889,0.231924,0,0,0,0,0,0,0,0,0.470437,0.436275,0.694878,0.076923,0.87,0.888889,0.397188,0,0,0.238462,0,0,0,0,0,0,0.343284,0.404145,0.467492,0.284091,0.73,0.835821,0.141856,0,0,0.265306,0,0,0,0,0,0,0.485788,0.393782,0.060606,0.83,0.93617,0.295259,0,0,0,0,0,0,0,0,0.40056,0.36165,0.656716,0.040541,0.97,0.980769,0.266371,0,0,0,0,0,0,0,0,0,0.4825,0.40241,0.676149,0.082474,0.87,0.901961,0.063766,0,0,0.071429,0,0,0,0,0,0,0.453165,0.319512,0.550296,0.141026,1,0.961538,0.126582,0,0,0,0,0,0,0,0,0,0.348765,0.368831,0.549689,0.130952,0.97,0.876923,0.583636,0,0,0.137931,0,0,0,0,0,0,0.448649,0.453012,0.506993,0.170213,0.97,0.854167,0.699219,0,0,0.208633,0,0,0,0,0,0,0.412791,0.400474,0.634349,0.05848,1,0.977778,0.310461,0,0,0.028369,0,0,0,0,0,0,2
